Профиль №1  с 01.11.2021 по 30.11.2021
Счетчик № 0816190453
Сохранен 30.11.2021 6:23:41

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
05.11.2021	13:00-14:00	000,1476	000,0000	000,0568	000,0000	
05.11.2021	14:00-15:00	000,1820	000,0000	000,0663	000,0000	
05.11.2021	15:00-16:00	000,1454	000,0000	000,0576	000,0000	
05.11.2021	16:00-17:00	000,1883	000,0000	000,0698	000,0000	
05.11.2021	17:00-18:00	000,1559	000,0000	000,0589	000,0000	
05.11.2021	18:00-19:00	000,1948	000,0000	000,0715	000,0000	
05.11.2021	19:00-20:00	000,1648	000,0000	000,0631	000,0000	
05.11.2021	20:00-21:00	000,1425	000,0000	000,0552	000,0000	
05.11.2021	21:00-22:00	000,1943	000,0000	000,0714	000,0000	
05.11.2021	22:00-23:00	000,1632	000,0000	000,0613	000,0000	
05.11.2021	23:00-24:00	000,1358	000,0000	000,0535	000,0000	
06.11.2021	00:00-01:00	000,1751	000,0000	000,0643	000,0000	
06.11.2021	01:00-02:00	000,1804	000,0000	000,0673	000,0000	
06.11.2021	02:00-03:00	000,1500	000,0000	000,0589	000,0000	
06.11.2021	03:00-04:00	000,1897	000,0000	000,0672	000,0000	
06.11.2021	04:00-05:00	000,1378	000,0000	000,0534	000,0000	
06.11.2021	05:00-06:00	000,1935	000,0000	000,0698	000,0000	
06.11.2021	06:00-07:00	000,1847	000,0000	000,0653	000,0000	
06.11.2021	07:00-08:00	000,1642	000,0000	000,0615	000,0000	
06.11.2021	08:00-09:00	000,1890	000,0000	000,0702	000,0000	
06.11.2021	09:00-10:00	000,1528	000,0000	000,0575	000,0000	
06.11.2021	10:00-11:00	000,1541	000,0000	000,0584	000,0000	
06.11.2021	11:00-12:00	000,0634	000,0000	000,0340	000,0000	
06.11.2021	12:00-13:00	000,0608	000,0000	000,0301	000,0000	
06.11.2021	13:00-14:00	000,0617	000,0000	000,0313	000,0000	
06.11.2021	14:00-15:00	000,0600	000,0000	000,0304	000,0000	
06.11.2021	15:00-16:00	000,0592	000,0000	000,0282	000,0000	
06.11.2021	16:00-17:00	000,0655	000,0000	000,0310	000,0000	
06.11.2021	17:00-18:00	000,0670	000,0000	000,0297	000,0000	
06.11.2021	18:00-19:00	000,0599	000,0000	000,0281	000,0000	
06.11.2021	19:00-20:00	000,0501	000,0000	000,0250	000,0000	
06.11.2021	20:00-21:00	000,0564	000,0000	000,0264	000,0000	
06.11.2021	21:00-22:00	000,0541	000,0000	000,0267	000,0000	
06.11.2021	22:00-23:00	000,0527	000,0000	000,0255	000,0000	
06.11.2021	23:00-24:00	000,0466	000,0000	000,0245	000,0000	
07.11.2021	00:00-01:00	000,0497	000,0000	000,0254	000,0000	
07.11.2021	01:00-02:00	000,0434	000,0000	000,0241	000,0000	
07.11.2021	02:00-03:00	000,0477	000,0000	000,0240	000,0000	
07.11.2021	03:00-04:00	000,0474	000,0000	000,0248	000,0000	
07.11.2021	04:00-05:00	000,0527	000,0000	000,0253	000,0000	
07.11.2021	05:00-06:00	000,0464	000,0000	000,0242	000,0000	
07.11.2021	06:00-07:00	000,0568	000,0000	000,0283	000,0000	
07.11.2021	07:00-08:00	000,1390	000,0000	000,0527	000,0000	
07.11.2021	08:00-09:00	000,1615	000,0000	000,0607	000,0000	
07.11.2021	09:00-10:00	000,1369	000,0000	000,0539	000,0000	
07.11.2021	10:00-11:00	000,1408	000,0000	000,0553	000,0000	
07.11.2021	11:00-12:00	000,1710	000,0000	000,0638	000,0000	
07.11.2021	12:00-13:00	000,1270	000,0000	000,0499	000,0000	
07.11.2021	13:00-14:00	000,1211	000,0000	000,0493	000,0000	
07.11.2021	14:00-15:00	000,1499	000,0000	000,0574	000,0000	
07.11.2021	15:00-16:00	000,1246	000,0000	000,0497	000,0000	
07.11.2021	16:00-17:00	000,1834	000,0000	000,0695	000,0000	
07.11.2021	17:00-18:00	000,1615	000,0000	000,0605	000,0000	
07.11.2021	18:00-19:00	000,1866	000,0000	000,0695	000,0000	
07.11.2021	19:00-20:00	000,1487	000,0000	000,0576	000,0000	
07.11.2021	20:00-21:00	000,1212	000,0000	000,0508	000,0000	
07.11.2021	21:00-22:00	000,1698	000,0000	000,0636	000,0000	
07.11.2021	22:00-23:00	000,1726	000,0000	000,0678	000,0000	
07.11.2021	23:00-24:00	000,1329	000,0000	000,0538	000,0000	
08.11.2021	00:00-01:00	000,1804	000,0000	000,0674	000,0000	
08.11.2021	01:00-02:00	000,1348	000,0000	000,0543	000,0000	
08.11.2021	02:00-03:00	000,1939	000,0000	000,0737	000,0000	
08.11.2021	03:00-04:00	000,1670	000,0000	000,0627	000,0000	
08.11.2021	04:00-05:00	000,1213	000,0000	000,0492	000,0000	
08.11.2021	05:00-06:00	000,2000	000,0000	000,0745	000,0000	
08.11.2021	06:00-07:00	000,1796	000,0000	000,0675	000,0000	
08.11.2021	07:00-08:00	000,1581	000,0000	000,0603	000,0000	
08.11.2021	08:00-09:00	000,1991	000,0000	000,0768	000,0000	
08.11.2021	09:00-10:00	000,1803	000,0000	000,0688	000,0000	
08.11.2021	10:00-11:00	000,1728	000,0000	000,0650	000,0000	
08.11.2021	11:00-12:00	000,1770	000,0000	000,0680	000,0000	
08.11.2021	12:00-13:00	000,1530	000,0000	000,0607	000,0000	
08.11.2021	13:00-14:00	000,0749	000,0000	000,0362	000,0000	
08.11.2021	14:00-15:00	000,1292	000,0000	000,0537	000,0000	
